id,name,x,y,z
259,mL1_L-26,3043,1662,-194.0
260,mL1_L-27,3085,1662,-194.0
261,mL1_L-28,1807,2384,-194.0
262,mL1_L-29,1549,2303,-194.0
263,mL1_L-3,1542,827,-194.0
264,mL1_L-30,1446,2239,-194.0
265,mL1_L-31,1332,2111,-194.0
266,mL1_L-32,1263,2028,-194.0
267,mL1_L-33,1271,1995,-194.0
268,mL1_L-34,1176,1832,-194.0
269,mL1_L-35,1130,1723,-194.0
270,mL1_L-36,2400,2388,-194.0
271,mL1_L-37,2658,2267,-194.0
272,mL1_L-38,2850,2065,-194.0
273,mL1_L-39,2895,1998,-194.0
274,mL1_L-4,1516,873,-194.0
275,mL1_L-40,2932,1947,-194.0
276,mL1_L-41,3031,1730,-194.0
277,mL1_L-42,2084,2200,-194.0
278,mL1_L-43,1995,2060,-194.0
279,mL1_L-44,1937,2001,-194.0
280,mL1_L-45,1841,2044,-194.0
281,mL1_L-46,2023,2268,-194.0
282,mL1_L-47,1387,2113,-194.0
283,mL1_L-48,1606,2115,-194.0
284,mL1_L-49,1588,2153,-194.0
285,mL1_L-5,1551,886,-194.0
286,mL1_L-50,1723,2110,-194.0
287,mL1_L-51,1908,1974,-194.0
288,mL1_L-52,1932,1907,-194.0
289,mL1_L-53,1917,1789,-194.0
290,mL1_L-54,1661,2081,-194.0
291,mL1_L-55,1661,2106,-194.0
292,mL1_L-56,2141,2258,-194.0
293,mL1_L-57,2132,2045,-194.0
294,mL1_L-58,2211,2015,-194.0
295,mL1_L-59,2271,2001,-194.0
296,mL1_L-6,1805,812,-194.0
297,mL1_L-60,2321,2056,-194.0
298,mL1_L-61,2661,2236,-194.0
299,mL1_L-62,2645,2180,-194.0
300,mL1_L-63,2565,2146,-194.0
301,mL1_L-64,2475,2138,-194.0
302,mL1_L-65,2481,2118,-194.0
303,mL1_L-66,2516,2104,-194.0
304,mL1_L-67,2346,1938,-194.0
305,mL1_L-68,2237,1752,-194.0
306,mL1_L-69,2207,1936,-194.0
307,mL1_L-7,2445,804,-194.0
308,mL1_L-70,2240,1988,-194.0
309,mL1_L-71,1728,1980,-194.0
310,mL1_L-72,1862,2003,-194.0
311,mL1_L-73,2210,1720,-194.0
312,mL1_L-74,2140,1670,-194.0
