id,name,x,y,z,x1,y1,z1,x2,y2,z2
197,mL1_H-8,-390.9545499,260.2593125,-187,1806,2716,187,895,2716,187
198,mL1_H-80,-254.6095895,105.6042375,-187,732,1769,187,1969,1769,187
199,mL1_H-81,-336.5146556,104.132889,-187,722,2338,187,1979,2338,187
200,mL1_H-82,-351.8820732,89.09243774,-187,618,2445,187,2083,2445,187
201,mL1_H-83,-241.6944194,86.47670709,-187,600,1679,187,2101,1679,187
202,mL1_H-84,-225.1826196,84.18794276,-187,584,1565,187,2117,1565,187
203,mL1_H-85,-171.0696917,177.5368305,-187,1232,1189,187,1469,1189,187
204,mL1_H-86,-178.0994678,194.3755966,-187,1349,1238,187,1352,1238,187
205,mL1_H-87,-172.377557,190.1250343,-187,1319,1198,187,1382,1198,187
206,mL1_H-88,-179.24385,203.5306539,-187,1412,1246,187,1289,1246,187
207,mL1_H-89,-219.4607088,257.6435819,-187,1788,1525,187,913,1525,187
208,mL1_H-9,-389.9736509,266.7986392,-187,1852,2709,187,849,2709,187
209,mL1_H-90,-208.1803703,241.9491979,-187,1679,1447,187,1022,1447,187
210,mL1_H-91,-422.0163514,195.8469451,-187,1359,2932,187,1342,2932,187
211,mL1_H-92,-424.6320821,204.8385193,-187,1421,2950,187,1280,2950,187
212,mL1_H-93,-429.0461276,187.9997532,-187,1305,2980,187,1396,2980,187
213,mL1_H-94,-432.1523077,146.1480627,-187,1014,3002,187,1687,3002,187
214,mL1_H-95,-431.9888246,131.2710946,-187,911,3001,187,1790,3001,187
215,mL1_H-96,-411.2264625,98.57446137,-187,684,2857,187,2017,2857,187
216,mL1_H-97,-395.6955617,83.0435606,-187,576,2749,187,2125,2749,187
217,mL1_H-98,-211.777,259.4418967,-187,1801,1472,187,900,1472,187
218,mL1_H-99,-169.43486,182.1143592,-187,1264,1178,187,1437,1178,187
219,mL1_L-1,-306.4726083,287.9421036,-194,1999,2129,194,702,2129,194
220,mL1_L-10,-390.3696107,266.1787228,-194,1847,2712,194,854,2712,194
221,mL1_L-100,-199.8154291,225.4762167,-194,1565,1389,194,1136,1389,194
222,mL1_L-101,-193.3362546,214.8437253,-194,1491,1344,194,1210,1344,194
223,mL1_L-102,-182.5376305,200.556315,-194,1392,1269,194,1309,1269,194
224,mL1_L-103,-179.3811097,195.406202,-194,1356,1247,194,1345,1247,194
225,mL1_L-104,-222.2433406,87.58609397,-194,607,1544,194,2094,1544,194
226,mL1_L-105,-197.4895716,90.07808414,-194,625,1372,194,2076,1372,194
227,mL1_L-106,-168.914751,134.9339072,-194,936,1174,194,1765,1174,194
228,mL1_L-107,-166.7550261,140.7485509,-194,976,1159,194,1725,1159,194
229,mL1_L-108,-166.4227608,149.7197155,-194,1039,1157,194,1662,1157,194
230,mL1_L-109,-167.7518222,158.8570128,-194,1102,1166,194,1599,1166,194
231,mL1_L-11,-156.6209328,153.3746344,-194,1064,1089,194,1637,1089,194
232,mL1_L-110,-171.4067411,184.1091799,-194,1278,1191,194,1423,1191,194
233,mL1_L-111,-186.8570802,210.358143,-194,1460,1299,194,1241,1299,194
234,mL1_L-112,-193.66852,229.2972683,-194,1591,1346,194,1110,1346,194
235,mL1_L-113,-185.5280188,214.1791946,-194,1486,1289,194,1215,1289,194
236,mL1_L-114,-211.6108492,71.96962224,-194,499,1471,194,2202,1471,194
237,mL1_L-115,-390.203478,81.10691953,-194,562,2711,194,2139,2711,194
238,mL1_L-116,-219.5852177,256.2107621,-194,1778,1526,194,923,1526,194
239,mL1_L-117,-211.2785838,247.7379955,-194,1719,1468,194,982,1468,194
240,mL1_L-118,-207.2913996,252.0574452,-194,1749,1441,194,952,1441,194
241,mL1_L-119,-216.2625642,257.7059562,-194,1789,1503,194,912,1503,194
242,mL1_L-12,-162.2694438,149.7197155,-194,1039,1128,194,1662,1128,194
243,mL1_L-120,-200.6460924,242.9201479,-194,1686,1394,194,1015,1394,194
244,mL1_L-121,-193.5023873,234.4473813,-194,1627,1345,194,1074,1345,194
245,mL1_L-13,-163.5985053,153.2085018,-194,1063,1137,194,1638,1137,194
246,mL1_L-14,-170.7422104,198.3965902,-194,1377,1187,194,1324,1187,194
247,mL1_L-15,-176.2245888,211.8533371,-194,1470,1225,194,1231,1225,194
248,mL1_L-16,-178.3843136,218.9970423,-194,1520,1240,194,1181,1240,194
249,mL1_L-17,-187.1893455,236.4409734,-194,1641,1301,194,1060,1301,194
250,mL1_L-18,-201.1444905,249.7315877,-194,1733,1398,194,968,1398,194
251,mL1_L-19,-406.8167458,245.2460054,-194,1702,2826,194,999,2826,194
252,mL1_L-2,-300.3256992,56.02088516,-194,388,2087,194,2313,2087,194
253,mL1_L-20,-417.6153699,237.4377695,-194,1648,2901,194,1053,2901,194
254,mL1_L-21,-416.9508392,232.7860545,-194,1616,2896,194,1085,2896,194
255,mL1_L-22,-423.0977483,231.4569931,-194,1606,2939,194,1095,2939,194
256,mL1_L-23,-428.5801266,209.859745,-194,1456,2977,194,1245,2977,194
257,mL1_L-24,-430.7398514,198.2304575,-194,1376,2992,194,1325,2992,194
258,mL1_L-25,-436.7206279,153.2085018,-194,1063,3034,194,1638,3034,194
259,mL1_L-26,-438.0496893,149.7197155,-194,1039,3043,194,1662,3043,194
260,mL1_L-27,-444.0304657,149.7197155,-194,1039,3085,194,1662,3085,194
261,mL1_L-28,-260.1215912,45.72065912,-194,317,1807,194,2384,1807,194
262,mL1_L-29,-222.9078713,57.51607926,-194,398,1549,194,2303,1549,194
263,mL1_L-3,-221.9110752,269.9997744,-194,1874,1542,194,827,1542,194
264,mL1_L-30,-208.122063,66.65337655,-194,462,1446,194,2239,1446,194
265,mL1_L-31,-191.6749278,85.0941038,-194,590,1332,194,2111,1332,194
266,mL1_L-32,-181.7069672,97.05565662,-194,673,1263,194,2028,1263,194
267,mL1_L-33,-182.8698959,101.8735043,-194,706,1271,194,1995,1271,194
268,mL1_L-34,-169.2470163,125.2982119,-194,869,1176,194,1832,1176,194
269,mL1_L-35,-162.6017092,140.9146836,-194,978,1130,194,1723,1130,194
270,mL1_L-36,-345.5137876,45.22226109,-194,313,2400,194,2388,2400,194
271,mL1_L-37,-382.5613748,62.66619227,-194,434,2658,194,2267,2658,194
272,mL1_L-38,-410.3055321,91.73941092,-194,636,2850,194,2065,2850,194
273,mL1_L-39,-416.7847065,101.3751062,-194,703,2895,194,1998,2895,194
